STR,INT,LUCK,PER,MIGHT,possibility,rank_up_success
6,7,7,5,5,3.95,1
4,9,8,10,7,5.07,1
0,9,2,6,8,3.14,1
0,9,2,0,1,3.01,1
2,1,10,4,8,2.37,1
1,2,1,4,10,0.065,0
4,8,9,9,9,4.98,1
9,6,2,3,8,2.135,1
5,3,2,5,9,0.865,0
6,9,4,6,9,3.9,1
3,4,4,8,6,1.815,1
6,1,1,0,0,-0.35,0
10,10,9,5,6,5.86,1
7,7,5,6,9,3.425,1
10,3,4,2,4,1.51,0
0,8,5,7,5,3.62,1
5,4,0,4,9,0.655,0
7,8,4,8,6,3.515,1
4,3,8,4,4,2.58,1
3,9,9,8,6,5.315,1
1,4,1,9,8,0.895,1
5,8,0,3,2,2.175,0
5,7,9,8,7,4.575,1
10,2,10,4,1,2.9,1
0,0,8,9,10,1.39,1
8,2,9,8,6,2.64,1
10,3,8,2,1,2.68,1
5,1,8,3,3,1.785,1
2,0,5,8,6,0.49,1
3,6,7,9,2,3.485,1
10,7,10,10,1,4.96,1
3,6,0,5,10,1.425,1
2,4,9,1,9,3.25,1
9,0,3,6,6,0.045,1
2,6,0,1,0,1.26,1
2,6,7,10,7,3.52,1
3,8,0,1,2,2.105,1
6,2,2,10,1,0.46,0
3,8,3,0,2,2.995,1
8,0,7,10,4,1.24,1
0,0,5,10,10,0.5,1
7,3,9,10,7,3.045,1
6,8,6,2,9,4.06,1
1,5,7,5,6,3.035,1
7,10,1,7,6,3.405,1
0,2,9,8,6,2.44,1
10,0,10,6,7,2.18,1
8,3,7,3,0,2.33,1
8,8,2,5,3,2.88,1
1,2,6,4,5,1.515,1
6,8,2,7,8,2.9,1
9,6,6,0,1,3.235,1
2,3,10,0,0,3.05,1
6,2,1,10,9,0.24,1
9,9,9,5,1,5.385,1
8,4,5,9,6,2.25,1
3,4,2,1,2,1.105,1
0,2,2,4,9,0.33,0
1,8,8,0,1,4.435,1
0,3,6,6,10,1.96,0
4,10,4,0,6,4.16,1
4,4,9,3,1,3.24,1
10,3,6,8,2,2.15,1
6,4,8,0,10,3.05,1
8,6,0,3,6,1.49,1
8,8,6,5,3,4.08,1
2,6,5,5,0,2.8,1
2,4,9,7,4,3.26,1
2,9,8,0,8,4.93,1
3,9,0,6,7,2.605,1
7,6,3,0,8,2.355,1
5,9,8,6,9,5.075,1
7,4,3,2,8,1.575,1
0,2,9,10,6,2.46,1
7,6,2,7,3,2.075,1
3,10,8,2,4,5.335,1
10,10,1,0,0,3.35,1
0,1,3,7,0,0.17,1
7,8,5,2,2,3.715,1
3,9,1,1,7,2.855,1
5,9,7,0,1,4.635,1
7,0,7,2,3,1.125,1
3,5,0,1,1,0.895,0
2,6,2,1,4,1.9,1
8,7,9,5,8,4.63,1
2,9,8,0,0,4.85,1
8,8,4,1,4,3.45,1
1,1,5,5,8,0.855,1
1,10,3,2,0,3.745,1
1,9,9,3,8,5.235,1
5,1,1,0,7,-0.305,0
2,4,10,7,3,3.55,1
8,4,7,6,10,2.86,1
3,5,10,6,9,4.025,1
0,2,5,2,4,1.16,1
3,7,4,9,4,3.005,1
0,0,8,9,10,1.39,1
4,5,0,2,5,0.97,1
3,3,4,1,6,1.345,1
7,0,5,0,7,0.545,1
7,6,4,6,7,2.705,1
6,8,5,6,10,3.81,1
2,3,5,1,1,1.57,1
0,3,6,6,8,1.94,1
